id,title,release_date,popularity,original_language,overview,genre_ids,adult,poster_path
1007757,Swapped,2026-05-01,102.6184,en,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.","[12, 16, 10751, 14]",False,/tHhxWxge06goXU6ZQH1hj7vK8Hd.jpg
278,The Shawshank Redemption,1994-09-23,149.0713,en,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","[18, 80]",False,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
936075,Michael,2026-04-22,226.0767,en,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.","[10402, 18]",False,/zm0KAbOjlt9eR5y7vDiL2dEOwMl.jpg
238,The Godfather,1972-03-14,41.3467,en,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","[18, 80]",False,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg
687163,Project Hail Mary,2026-03-15,132.9262,en,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.","[878, 12]",False,/yihdXomYb5kTeSivtFndMy5iDmf.jpg
240,The Godfather Part II,1974-12-20,28.331,en,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.","[18, 80]",False,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg
424,Schindler's List,1993-12-15,28.8985,en,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,"[18, 36, 10752]",False,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg
389,12 Angry Men,1957-04-10,27.5475,en,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",[18],False,/zhG3vKWyDRaZYoaww1UVAi29T9h.jpg
1330021,Remarkably Bright Creatures,2026-05-07,25.1018,en,"Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.","[18, 9648]",False,/9HcEqn3D4J6b2Z0jK54id9nA0fr.jpg
1383731,Protector,2026-02-20,21.1245,en,"Nikki's life is shattered when her daughter is kidnapped. Thrust into the criminal underworld while hunted by cops and military, she must fight to rescue her child.","[28, 53]",False,/icOZpnGuH9YrEaW3wrw5GJaXGih.jpg
129,Spirited Away,2001-07-20,41.6633,ja,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.","[16, 10751, 14]",False,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg
155,The Dark Knight,2008-07-16,45.9457,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","[28, 80, 53]",False,/qJ2tW6WMUDux911r6m7haRef0WH.jpg
19404,Dilwale Dulhania Le Jayenge,1995-10-20,15.0214,hi,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.","[35, 18, 10749]",False,/tFbfCkS7q6g96wVoAu8kyr93iPm.jpg
497,The Green Mile,1999-12-10,29.9626,en,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.","[14, 18, 80]",False,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg
122,The Lord of the Rings: The Return of the King,2003-12-17,46.0062,en,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​","[12, 14, 28]",False,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg
