adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
False,/zMwhWailP1WY7sb6AoE6b8ugoy.jpg,"[12, 16, 10751, 14]",1007757,Intercambiados,en,Swapped,"Una pequeña criatura del bosque intercambia el cuerpo con un majestuoso pájaro del valle, lo que los obliga a colaborar para sobrevivir a la aventura más salvaje de sus vidas.",113.1324,/i89vUDwNhAEWUZSFYITSiv1RIbK.jpg,2026-05-01,False,False,8.956,1838
False,/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg,"[18, 80]",278,Cadena perpetua,en,The Shawshank Redemption,"Acusado del asesinato de su mujer, Andrew Dufresne, tras ser condenado a cadena perpetua, es enviado a la prisión de Shawshank. Con el paso de los años conseguirá ganarse la confianza del director del centro y el respeto de sus compañeros presidiarios, especialmente de Red, el jefe de la mafia de los sobornos.",121.1668,/uRRTV7p6l2ivtODWJVVAMRrwTn2.jpg,1994-09-23,False,False,8.723,30663
False,/ufSwlnECLoUbBjPrFqEQcWBzHwc.jpg,"[10402, 18]",936075,Michael,en,Michael,"El viaje de Michael Jackson más allá de la música, desde el descubrimiento de su extraordinario talento como líder de los Jackson Five hasta convertirse en una visionaria estrella cuya ambición creativa despertó un incansable afán por consagrarse como el mayor icono de la industria del entretenimiento.",262.3596,/2uK36ujoDXOfNiJ5Yp3raVprB51.jpg,2026-04-22,False,False,8.702,3209
False,/8Tfys3mDZVp4tNoH2ktm06a0Tau.jpg,"[878, 12]",687163,Proyecto Salvación,en,Project Hail Mary,"El profesor de ciencias Ryland Grace se despierta en una nave espacial a años luz de casa sin recordar quién es ni cómo ha llegado hasta allí. A medida que recupera la memoria, empieza a descubrir su misión: resolver el enigma de la misteriosa sustancia que provoca la extinción del sol. Deberá recurrir a sus conocimientos científicos y a sus ideas poco ortodoxas para salvar todo lo que hay en la Tierra de la extinción... pero una amistad inesperada significa que quizá no tenga que hacerlo solo.",123.0578,/7lwOTxajURKEWO6gI370NTrVdBO.jpg,2026-03-15,False,False,8.691,5535
False,/ejdD20cdHNFAYAN2DlqPToXKyzx.jpg,"[18, 80]",238,El padrino,en,The Godfather,"Don Vito Corleone, conocido dentro de los círculos del hampa como 'El Padrino', es el patriarca de una de las cinco familias que ejercen el mando de la Cosa Nostra en Nueva York en los años cuarenta. Don Corleone tiene cuatro hijos: una chica, Connie, y tres varones; Sonny, Michael y Fredo. Cuando el Padrino reclina intervenir en el negocio de estupefacientes, empieza una cruenta lucha de violentos episodios entre las distintas familias del crimen organizado.",40.43,/mBszHHr7tcDKR05Fa4IDa2bBvda.jpg,1972-03-14,False,False,8.687,23097
False,/bVGHSe47W6oCQL1Q88pvRAet51A.jpg,"[18, 9648, 14]",1330021,Criaturas luminosas,en,Remarkably Bright Creatures,"En este drama, basado en el bestseller homónimo, una viuda forja un vínculo con un pulpo muy listo y un joven a la deriva mientras trabaja de noche en un pequeño acuario.",28.0792,/afCyi1YlcSq2BH14UJmFbqzzJ65.jpg,2026-05-07,False,False,8.574,685
False,/kGzFbGhp99zva6oZODW5atUtnqi.jpg,"[18, 80]",240,El padrino II,en,The Godfather Part II,"Continuación de la saga de los Corleone con dos historias paralelas: la elección de Michael Corleone como jefe de los negocios familiares y los orígenes del patriarca, el ya fallecido Don Vito, primero en Sicilia y luego en Estados Unidos, donde, empezando desde abajo, llegó a ser un poderosísimo jefe de la mafia de Nueva York.",28.7146,/mbry0W5PRylSUHsYzdiY2FSJwze.jpg,1974-12-20,False,False,8.571,14009
False,/zb6fM1CX41D9rF9hdgclu0peUmy.jpg,"[18, 36, 10752]",424,La lista de Schindler,en,Schindler's List,"Oskar Schindler, un hombre de enorme astucia y talento para las relaciones públicas, organiza un ambicioso plan para ganarse la simpatía de los nazis. Después de la invasión de Polonia por los alemanes, consigue, gracias a sus relaciones con los nazis, la propiedad de una fábrica de Cracovia. Allí emplea a cientos de operarios judíos, cuya explotación le hace prosperar rápidamente. Su gerente, también judío, es el verdadero director en la sombra, pues Schindler no tiene el menor conocimiento industrial.",27.5078,/3Ho0pXsnMxpGJWqdOi0KDNdaTkT.jpg,1993-12-15,False,False,8.57,17561
False,/qqHQsStV6exghCM7zbObuYBiYxw.jpg,[18],389,Doce hombres sin piedad,en,12 Angry Men,"Tras escuchar todos los testimonios y valorar las pruebas presentadas, un jurado popular compuesto por doce hombres tiene que decidir, por unanimidad, si absuelve o condena a muerte a un joven acusado de haber matado a su padre. Al principio, once están completamente convencidos de su culpabilidad y se inclinan por la condena, pero el que discrepa empieza a plantear dudas razonables que, poco a poco, van resquebrajando la inicial seguridad de los demás.",25.7949,/qyVoDb3EKO5SnhpSRpztNmZjo70.jpg,1957-04-10,False,False,8.563,10079
False,/vpuPY4UziUCxv7gYYoaZQ3LX7to.jpg,"[28, 53]",1383731,Protector,en,Protector,"La vida pacífica de Nikki, una exheroína de guerra, se ve destrozada cuando su hija es secuestrada. Inmersa en el submundo criminal mientras es perseguida por policías y militares, debe luchar para rescatar a su hija.",23.5895,/b1j1XEtLWtXnwK21FaICZBbKBjH.jpg,2026-02-20,False,False,8.562,386
False,/dyJvKsNs2KP8qQnAXbRwDjblViy.jpg,"[16, 10751, 14]",129,El viaje de Chihiro,ja,千と千尋の神隠し,"Durante el traslado de su familia a los suburbios, una niña de 10 años de edad deambula por un mundo gobernado por dioses, brujas y espíritus, y donde los humanos se convierten en bestias.",36.6631,/2RcxjDykOssx4SfqshewyI9vfSl.jpg,2001-07-20,False,False,8.534,18468
False,/cfT29Im5VDvjE0RpyKOSdCKZal7.jpg,"[28, 80, 53]",155,El caballero oscuro,en,The Dark Knight,"Batman/Bruce Wayne regresa para continuar su guerra contra el crimen. Con la ayuda del teniente Jim Gordon y del Fiscal del Distrito Harvey Dent, Batman se propone destruir el crimen organizado en la ciudad de Gotham. El triunvirato demuestra su eficacia, pero, de repente, aparece Joker, un nuevo criminal que desencadena el caos y tiene aterrados a los ciudadanos.",45.8879,/8QDQExnfNFOtabLDKqfDQuHDsIg.jpg,2008-07-16,False,False,8.531,35998
False,/84beTJf26mfhoasUlKSOiNSutyS.jpg,"[35, 18, 10749]",19404,Un amor contra viento y marea,hi,दिलवाले दुल्हनिया ले जायेंगे,"Los Singh son una familia india con grandes convicciones culturales de su nación de origen, que emigraron a Reino Unido antes de nacer sus primeros hijos. Uno de ellos querrá casarse con una mujer ajena a su cultura y para ello deberá hacer todos los esfuerzos por convencer a su familia.",14.8259,/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,1995-10-20,False,False,8.51,4599
False,/b6HWTOxn1xevvyHU2K9ICvaRU6g.jpg,"[14, 18, 80]",497,La milla verde,en,The Green Mile,"En el sur de los Estados Unidos, en plena Depresión, Paul Edgecomb es un vigilante penitenciario a cargo de la Milla Verde, un pasillo que separa las celdas de los reclusos condenados a la silla eléctrica. Esperando su ejecución está John Coffey, un gigantesco negro acusado de asesinar brutalmente a dos hermanas de nueve años. Tras una personalidad ingenua, Coffey esconde un don sobrenatural prodigioso. A medida que transcurre la historia, Paul Edgecomb aprende que los milagros ocurren... incluso en los lugares más insospechados.",29.3726,/aBQiJRxGRrX0mXFMjxyzWYFtEnf.jpg,1999-12-10,False,False,8.506,19379
False,/2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg,"[12, 14, 28]",122,El señor de los anillos: El retorno del rey,en,The Lord of the Rings: The Return of the King,"Las fuerzas de Saruman han sido destruidas, y su fortaleza sitiada. Ha llegado el momento de que se decida el destino de la Tierra Media, y por primera vez en mucho tiempo, parece que hay una pequeña esperanza. La atención del señor oscuro Sauron se centra ahora en Gondor, el último reducto de los hombres, y del cual Aragorn tendrá que reclamar el trono para ocupar su puesto de rey. Pero las fuerzas de Sauron ya se preparan para lanzar el último y definitivo ataque contra el reino de Gondor, la batalla que decidirá el destino de todos. Mientras tanto, Frodo y Sam continuan su camino hacia Mordor, a la espera de que Sauron no repare en que dos pequeños Hobbits se acercan cada día más al final de su camino, el Monte del Destino.",50.9604,/mWuFbQrXyLk2kMBKF9TUPtDwuPx.jpg,2003-12-17,False,False,8.499,26753
False,/xyWKrni8WrYzqn7ztvI5nIY0h62.jpg,"[35, 10749]",1181678,¿Quieres ser mi... hijo?,en,¿Quieres ser mi hijo?,"Lu, una mujer conformista de 40 años, un día descubre que su pareja de hace 15 años la estaba engañando. En ese momento, Lu toma la decisión de regresar a su departamento de soltera para empezar de cero, ya que se siente estancada y desconsolada. Conoce a su nuevo vecino Javier, un joven y apuesto mujeriego de tan sólo 23 años, quien no la deja descansar por sus constantes fiestas. Para poder conseguir el trabajo de sus sueños, Lu decide mentir en su entrevista al decir que es mujer de familia y que tiene un hijo de 19 años. Por si fuera poco, tiene que enfrentar la última prueba para ser contratada y pasar un fin de semana en Valle de Bravo con los ejecutivos de la empresa y sus familias. Al encontrarse desesperada, Lu le ofrece el trabajo a Javier, para que se haga pasar por su hijo y a cambio, ella no lo molestará más cuando esté de fiesta.",11.3984,/9GuvODahvuFqdhuZ16aBLR4UJoP.jpg,2023-09-21,False,False,8.5,355
False,/wCuUKiRaz0wEESsYqmQy005xvTE.jpg,"[35, 53, 18]",496243,Parásitos,ko,기생충,"Tanto Gi Taek (Song Kang-ho) como su familia están sin trabajo. Cuando su hijo mayor, Gi Woo (Choi Woo-sik), empieza a dar clases particulares en casa de Park (Lee Seon-gyun), las dos familias, que tienen mucho en común pese a pertenecer a dos mundos totalmente distintos, comienzan una interrelación de resultados imprevisibles.",35.2072,/4N55tgxDW0RRATyrZHbx0q9HUKv.jpg,2019-05-30,False,False,8.492,20807
False,/mMtUybQ6hL24FXo0F3Z4j2KG7kZ.jpg,"[16, 10749, 18]",372058,Your Name.,ja,君の名は。,"Taki y Mitsuha descubren un día que durante el sueño sus cuerpos se intercambian, y comienzan a comunicarse por medio de notas. A medida que consiguen superar torpemente un reto tras otro, se va creando entre los dos un vínculo que poco a poco se convierte en algo más romántico.",27.797,/iaiy3tg9QVkDpObm1IGqmbC9A5C.jpg,2016-07-01,False,False,8.482,12654
False,/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg,"[53, 80, 35]",680,Pulp Fiction,en,Pulp Fiction,"Jules y Vincent, dos asesinos a sueldo con muy pocas luces, trabajan para Marsellus Wallace. Vincent le confiesa a Jules que Marsellus le ha pedido que cuide de Mia, su mujer. Jules le recomienda prudencia porque es muy peligroso sobrepasarse con la novia del jefe. Cuando llega la hora de trabajar, ambos deben ponerse manos a la obra. Su misión: recuperar un misterioso maletín.",39.9514,/hNcQAuquJxTxl2fJFs1R42DrWcf.jpg,1994-09-10,False,False,8.482,30358
False,/2ssWTSVklAEc98frZUQhgtGHx7s.jpg,"[12, 18, 878]",157336,Interstellar,en,Interstellar,Un grupo de exploradores hacen uso de un agujero de gusano recientemente descubierto para superar las limitaciones de los viajes espaciales tripulados y vencer las inmensas distancias que tiene un viaje interestelar.,65.364,/9cTfZWP5TfdnmAjiD6ZBXWIJ7O9.jpg,2014-11-05,False,False,8.48,40160
False,/Adrip2Jqzw56KeuV2nAxucKMNXA.jpg,[37],429,"El bueno, el feo y el malo",it,"Il buono, il brutto, il cattivo","Durante la Guerra de Secesión, tres cazadores de recompensas se lanzan a la búsqueda de un tesoro que ninguno de los tres truhanes puede localizar sin la ayuda de los otros dos. Tuco sabe que el tesoro se encuentra en un cementerio, mientras que Joe conoce el nombre inscrito en la tumba que lo esconde. Mientras tanto, Sentenza no duda en matar a mujeres y niños para conseguir su meta. De esta forma, los tres hombres colaboran en apariencia, pero al final intentarán eliminarse mutuamente.",23.0429,/71HKV5F9bfm05ZZnjGmRuFpUVCo.jpg,1966-12-23,False,False,8.467,9721
False,/66Kn4XWhkuPkJxOJyPEx4U2CUfN.jpg,"[35, 18, 10749]",13,Forrest Gump,en,Forrest Gump,"Forrest Gump es un chico con deficiencias mentales no muy profundas y con alguna incapacidad motora que, a pesar de todo, llegará a convertirse, entre otras cosas, en un héroe durante la Guerra del Vietnam. Su persistencia y bondad le llevarán a conseguir una gran fortuna, ser objeto del clamor popular y a codearse con las más altas esferas sociales y políticas del país. Siempre sin olvidar a Jenny, su gran amor desde que era niño.",27.7789,/azV6hV99lYkdhydsQbJCI6FqMl4.jpg,1994-06-23,False,False,8.464,29900
False,/gILte6Zd7m1YneIr6MVhh30S9pr.jpg,"[18, 80]",769,Uno de los nuestros,en,GoodFellas,"Henry, un niño de trece años de Brooklyn, vive fascinado con el mundo de los gángsters. Su sueño se hace realidad cuando entra a formar parte de la familia Pauline, dueña absoluta de la zona, que lo educan como un miembro más de la banda convirtiéndole en un destacado mafioso.",24.3152,/3Yy0zBO9AlyAZH1cTI8Ko2ouCi.jpg,1990-09-12,False,False,8.454,14458
False,/uisqfUnVHQrib6X7t5yGtIhGVgt.jpg,"[16, 28, 10749, 14]",1218925,Chainsaw Man - La película: El arco de Reze,ja,劇場版 チェンソーマン レゼ篇,"Denji trabajaba como cazador de demonios para la yakuza, tratando de saldar la deuda que había heredado de sus padres, pero la yakuza lo traicionó y lo mató. Antes de perder el conocimiento, Pochita, el perro-demonio motosierra de Denji, hizo un trato con él y le salvó la vida. Así se fusionaron, creando al imparable Chainsaw Man. Ahora, en medio de una brutal guerra entre demonios, cazadores y enemigos secretos, una misteriosa chica llamada Reze irrumpe en su mundo y Denji se enfrenta a su batalla más mortífera, impulsado por el amor, en un mundo donde la supervivencia no conoce reglas.",27.8489,/fJdnp5OO2wh07tdy6noACNyaqMJ.jpg,2025-09-19,False,False,8.451,978
False,/qvZ91FwMq6O47VViAr8vZNQz3WI.jpg,"[28, 18]",346,Los siete samuráis,ja,七人の侍,"Una banda de forajidos atemorizan a los habitantes de un pequeño pueblo, saqueándolos periódicamente sin piedad. Para repeler estos ataques, los aldeanos deciden contratar a mercenarios. Finalmente, consiguen los servicios de 7 guerreros, 7 samurais dispuestos a defenderlos a cambio, tan solo, de cobijo y comida.",13.6471,/zr4DkzWIMjaWtj6hlsbN6dnNeTX.jpg,1954-04-26,False,False,8.447,4265
False,/aHaqZpOL7UyVu0nKqp3SMz0o2E1.jpg,"[16, 18, 10752]",12477,La tumba de las luciérnagas,ja,火垂るの墓,"Verano de 1945. La aviación estadounidense somete las ciudades japonesas a continuos ataques aéreos. En uno de ellos, una incursión con bombas incendiarias convierte la ciudad de Kōbe en un infierno humeante, para los dos protagonistas (Seita, de 14 años, y su hermanita Setsuko, de 5). El joven Seita y su pequeña hermana Setsuko son hijos de un oficial de la marina japonesa. Durante la Segunda Guerra Mundial, ambos viven con su madre, pero un día, tras un bombardeo, ellos se retrasan y no consiguen llegar al búnker donde ella los espera.",0.0148,/juKTAn2AuoE9MvCNvf3kwZrt1t4.jpg,1988-04-16,False,False,8.439,6575
