title,release_date,popularity,original_language,overview,genre_ids,adult,poster_path
Intercambiados,2026-05-01,113.1324,en,"Una pequeña criatura del bosque intercambia el cuerpo con un majestuoso pájaro del valle, lo que los obliga a colaborar para sobrevivir a la aventura más salvaje de sus vidas.","[12, 16, 10751, 14]",False,/i89vUDwNhAEWUZSFYITSiv1RIbK.jpg
Cadena perpetua,1994-09-23,121.1668,en,"Acusado del asesinato de su mujer, Andrew Dufresne, tras ser condenado a cadena perpetua, es enviado a la prisión de Shawshank. Con el paso de los años conseguirá ganarse la confianza del director del centro y el respeto de sus compañeros presidiarios, especialmente de Red, el jefe de la mafia de los sobornos.","[18, 80]",False,/uRRTV7p6l2ivtODWJVVAMRrwTn2.jpg
Michael,2026-04-22,262.3596,en,"El viaje de Michael Jackson más allá de la música, desde el descubrimiento de su extraordinario talento como líder de los Jackson Five hasta convertirse en una visionaria estrella cuya ambición creativa despertó un incansable afán por consagrarse como el mayor icono de la industria del entretenimiento.","[10402, 18]",False,/2uK36ujoDXOfNiJ5Yp3raVprB51.jpg
Proyecto Salvación,2026-03-15,123.0578,en,"El profesor de ciencias Ryland Grace se despierta en una nave espacial a años luz de casa sin recordar quién es ni cómo ha llegado hasta allí. A medida que recupera la memoria, empieza a descubrir su misión: resolver el enigma de la misteriosa sustancia que provoca la extinción del sol. Deberá recurrir a sus conocimientos científicos y a sus ideas poco ortodoxas para salvar todo lo que hay en la Tierra de la extinción... pero una amistad inesperada significa que quizá no tenga que hacerlo solo.","[878, 12]",False,/7lwOTxajURKEWO6gI370NTrVdBO.jpg
El padrino,1972-03-14,40.43,en,"Don Vito Corleone, conocido dentro de los círculos del hampa como 'El Padrino', es el patriarca de una de las cinco familias que ejercen el mando de la Cosa Nostra en Nueva York en los años cuarenta. Don Corleone tiene cuatro hijos: una chica, Connie, y tres varones; Sonny, Michael y Fredo. Cuando el Padrino reclina intervenir en el negocio de estupefacientes, empieza una cruenta lucha de violentos episodios entre las distintas familias del crimen organizado.","[18, 80]",False,/mBszHHr7tcDKR05Fa4IDa2bBvda.jpg
Criaturas luminosas,2026-05-07,28.0792,en,"En este drama, basado en el bestseller homónimo, una viuda forja un vínculo con un pulpo muy listo y un joven a la deriva mientras trabaja de noche en un pequeño acuario.","[18, 9648, 14]",False,/afCyi1YlcSq2BH14UJmFbqzzJ65.jpg
El padrino II,1974-12-20,28.7146,en,"Continuación de la saga de los Corleone con dos historias paralelas: la elección de Michael Corleone como jefe de los negocios familiares y los orígenes del patriarca, el ya fallecido Don Vito, primero en Sicilia y luego en Estados Unidos, donde, empezando desde abajo, llegó a ser un poderosísimo jefe de la mafia de Nueva York.","[18, 80]",False,/mbry0W5PRylSUHsYzdiY2FSJwze.jpg
La lista de Schindler,1993-12-15,27.5078,en,"Oskar Schindler, un hombre de enorme astucia y talento para las relaciones públicas, organiza un ambicioso plan para ganarse la simpatía de los nazis. Después de la invasión de Polonia por los alemanes, consigue, gracias a sus relaciones con los nazis, la propiedad de una fábrica de Cracovia. Allí emplea a cientos de operarios judíos, cuya explotación le hace prosperar rápidamente. Su gerente, también judío, es el verdadero director en la sombra, pues Schindler no tiene el menor conocimiento industrial.","[18, 36, 10752]",False,/3Ho0pXsnMxpGJWqdOi0KDNdaTkT.jpg
Doce hombres sin piedad,1957-04-10,25.7949,en,"Tras escuchar todos los testimonios y valorar las pruebas presentadas, un jurado popular compuesto por doce hombres tiene que decidir, por unanimidad, si absuelve o condena a muerte a un joven acusado de haber matado a su padre. Al principio, once están completamente convencidos de su culpabilidad y se inclinan por la condena, pero el que discrepa empieza a plantear dudas razonables que, poco a poco, van resquebrajando la inicial seguridad de los demás.",[18],False,/qyVoDb3EKO5SnhpSRpztNmZjo70.jpg
Protector,2026-02-20,23.5895,en,"La vida pacífica de Nikki, una exheroína de guerra, se ve destrozada cuando su hija es secuestrada. Inmersa en el submundo criminal mientras es perseguida por policías y militares, debe luchar para rescatar a su hija.","[28, 53]",False,/b1j1XEtLWtXnwK21FaICZBbKBjH.jpg
El viaje de Chihiro,2001-07-20,36.6631,ja,"Durante el traslado de su familia a los suburbios, una niña de 10 años de edad deambula por un mundo gobernado por dioses, brujas y espíritus, y donde los humanos se convierten en bestias.","[16, 10751, 14]",False,/2RcxjDykOssx4SfqshewyI9vfSl.jpg
El caballero oscuro,2008-07-16,45.8879,en,"Batman/Bruce Wayne regresa para continuar su guerra contra el crimen. Con la ayuda del teniente Jim Gordon y del Fiscal del Distrito Harvey Dent, Batman se propone destruir el crimen organizado en la ciudad de Gotham. El triunvirato demuestra su eficacia, pero, de repente, aparece Joker, un nuevo criminal que desencadena el caos y tiene aterrados a los ciudadanos.","[28, 80, 53]",False,/8QDQExnfNFOtabLDKqfDQuHDsIg.jpg
Un amor contra viento y marea,1995-10-20,14.8259,hi,"Los Singh son una familia india con grandes convicciones culturales de su nación de origen, que emigraron a Reino Unido antes de nacer sus primeros hijos. Uno de ellos querrá casarse con una mujer ajena a su cultura y para ello deberá hacer todos los esfuerzos por convencer a su familia.","[35, 18, 10749]",False,/2CAL2433ZeIihfX1Hb2139CX0pW.jpg
La milla verde,1999-12-10,29.3726,en,"En el sur de los Estados Unidos, en plena Depresión, Paul Edgecomb es un vigilante penitenciario a cargo de la Milla Verde, un pasillo que separa las celdas de los reclusos condenados a la silla eléctrica. Esperando su ejecución está John Coffey, un gigantesco negro acusado de asesinar brutalmente a dos hermanas de nueve años. Tras una personalidad ingenua, Coffey esconde un don sobrenatural prodigioso. A medida que transcurre la historia, Paul Edgecomb aprende que los milagros ocurren... incluso en los lugares más insospechados.","[14, 18, 80]",False,/aBQiJRxGRrX0mXFMjxyzWYFtEnf.jpg
El señor de los anillos: El retorno del rey,2003-12-17,50.9604,en,"Las fuerzas de Saruman han sido destruidas, y su fortaleza sitiada. Ha llegado el momento de que se decida el destino de la Tierra Media, y por primera vez en mucho tiempo, parece que hay una pequeña esperanza. La atención del señor oscuro Sauron se centra ahora en Gondor, el último reducto de los hombres, y del cual Aragorn tendrá que reclamar el trono para ocupar su puesto de rey. Pero las fuerzas de Sauron ya se preparan para lanzar el último y definitivo ataque contra el reino de Gondor, la batalla que decidirá el destino de todos. Mientras tanto, Frodo y Sam continuan su camino hacia Mordor, a la espera de que Sauron no repare en que dos pequeños Hobbits se acercan cada día más al final de su camino, el Monte del Destino.","[12, 14, 28]",False,/mWuFbQrXyLk2kMBKF9TUPtDwuPx.jpg
¿Quieres ser mi... hijo?,2023-09-21,11.3984,en,"Lu, una mujer conformista de 40 años, un día descubre que su pareja de hace 15 años la estaba engañando. En ese momento, Lu toma la decisión de regresar a su departamento de soltera para empezar de cero, ya que se siente estancada y desconsolada. Conoce a su nuevo vecino Javier, un joven y apuesto mujeriego de tan sólo 23 años, quien no la deja descansar por sus constantes fiestas. Para poder conseguir el trabajo de sus sueños, Lu decide mentir en su entrevista al decir que es mujer de familia y que tiene un hijo de 19 años. Por si fuera poco, tiene que enfrentar la última prueba para ser contratada y pasar un fin de semana en Valle de Bravo con los ejecutivos de la empresa y sus familias. Al encontrarse desesperada, Lu le ofrece el trabajo a Javier, para que se haga pasar por su hijo y a cambio, ella no lo molestará más cuando esté de fiesta.","[35, 10749]",False,/9GuvODahvuFqdhuZ16aBLR4UJoP.jpg
Parásitos,2019-05-30,35.2072,ko,"Tanto Gi Taek (Song Kang-ho) como su familia están sin trabajo. Cuando su hijo mayor, Gi Woo (Choi Woo-sik), empieza a dar clases particulares en casa de Park (Lee Seon-gyun), las dos familias, que tienen mucho en común pese a pertenecer a dos mundos totalmente distintos, comienzan una interrelación de resultados imprevisibles.","[35, 53, 18]",False,/4N55tgxDW0RRATyrZHbx0q9HUKv.jpg
Your Name.,2016-07-01,27.797,ja,"Taki y Mitsuha descubren un día que durante el sueño sus cuerpos se intercambian, y comienzan a comunicarse por medio de notas. A medida que consiguen superar torpemente un reto tras otro, se va creando entre los dos un vínculo que poco a poco se convierte en algo más romántico.","[16, 10749, 18]",False,/iaiy3tg9QVkDpObm1IGqmbC9A5C.jpg
